region,modelo,residuo
Total mensual,Holt-Winters,-21642.038885381735
Total mensual,Holt-Winters,-230.06953874950705
Total mensual,Holt-Winters,-61754.51903471179
Total mensual,Holt-Winters,93215.63768446684
Total mensual,Holt-Winters,15525.46034175955
Total mensual,Holt-Winters,-6413.922056780517
Vía aérea,ARIMA/SARIMA seleccionado,-0.19081584297900456
Vía aérea,ARIMA/SARIMA seleccionado,-0.09474126437202202
Vía aérea,ARIMA/SARIMA seleccionado,0.12905023549865113
Vía aérea,ARIMA/SARIMA seleccionado,-0.039797385469116264
Vía aérea,ARIMA/SARIMA seleccionado,-0.106913778131009
Vía aérea,ARIMA/SARIMA seleccionado,0.20198978353471375
Vía aérea,ARIMA/SARIMA seleccionado,0.12984196491633426
Vía aérea,ARIMA/SARIMA seleccionado,-0.21620130759236567
Vía aérea,ARIMA/SARIMA seleccionado,-0.10134168242109531
Vía aérea,ARIMA/SARIMA seleccionado,0.0935661836726851
Vía aérea,ARIMA/SARIMA seleccionado,0.14641027255228423
Vía aérea,ARIMA/SARIMA seleccionado,0.14739999284040906
Vía aérea,ARIMA/SARIMA seleccionado,-0.2043424713493085
Vía aérea,ARIMA/SARIMA seleccionado,-0.06946071851618996
Vía aérea,ARIMA/SARIMA seleccionado,0.19310240648900034
Vía aérea,ARIMA/SARIMA seleccionado,-0.15046268718586653
Vía aérea,ARIMA/SARIMA seleccionado,0.0008269733629564513
Vía aérea,ARIMA/SARIMA seleccionado,0.19039278416909688
Vía aérea,ARIMA/SARIMA seleccionado,0.06750958572942878
Vía aérea,ARIMA/SARIMA seleccionado,-0.25597308310743294
Vía aérea,ARIMA/SARIMA seleccionado,-0.02900877716171557
Vía aérea,ARIMA/SARIMA seleccionado,0.12016534320479444
Vía aérea,ARIMA/SARIMA seleccionado,0.11863162107888492
Vía aérea,ARIMA/SARIMA seleccionado,0.15062335413193928
Vía aérea,ARIMA/SARIMA seleccionado,-0.22742479889622835
Vía aérea,ARIMA/SARIMA seleccionado,-0.06746455208470792
Vía aérea,ARIMA/SARIMA seleccionado,0.2764788023735161
Vía aérea,ARIMA/SARIMA seleccionado,-0.27191138647490654
Vía aérea,ARIMA/SARIMA seleccionado,0.05498460642848535
Vía aérea,ARIMA/SARIMA seleccionado,0.20015536789163946
Vía aérea,ARIMA/SARIMA seleccionado,0.04202298122706161
Vía aérea,ARIMA/SARIMA seleccionado,-0.16460736309703172
Vía aérea,ARIMA/SARIMA seleccionado,-0.10114238534015207
Vía aérea,ARIMA/SARIMA seleccionado,0.18220231674899345
Vía aérea,ARIMA/SARIMA seleccionado,0.10994275633378336
Vía aérea,ARIMA/SARIMA seleccionado,0.20576690132482867
Vía aérea,ARIMA/SARIMA seleccionado,-0.1988150258290542
Vía aérea,ARIMA/SARIMA seleccionado,-0.047722709473331903
Vía aérea,ARIMA/SARIMA seleccionado,0.1859955795581314
Vía aérea,ARIMA/SARIMA seleccionado,-0.04054784921697241
Vía aérea,ARIMA/SARIMA seleccionado,-0.06099023316009955
Vía aérea,ARIMA/SARIMA seleccionado,0.2406963474301822
Vía aérea,ARIMA/SARIMA seleccionado,0.0222926126071048
Vía aérea,ARIMA/SARIMA seleccionado,-0.11507230526936141
Vía aérea,ARIMA/SARIMA seleccionado,-0.09929744485799397
Vía aérea,ARIMA/SARIMA seleccionado,0.18358215680977708
Vía aérea,ARIMA/SARIMA seleccionado,0.07931630171318282
Vía aérea,ARIMA/SARIMA seleccionado,0.23384347301916542
Vía aérea,ARIMA/SARIMA seleccionado,-0.19178703260184804
Vía aérea,ARIMA/SARIMA seleccionado,-0.07054075969534246
Vía aérea,ARIMA/SARIMA seleccionado,0.2387328616874118
Vía aérea,ARIMA/SARIMA seleccionado,-0.12934375442705814
Vía aérea,ARIMA/SARIMA seleccionado,0.03135628753988051
Vía aérea,ARIMA/SARIMA seleccionado,0.23255287031401117
Vía aérea,ARIMA/SARIMA seleccionado,0.019270120204870622
Vía aérea,ARIMA/SARIMA seleccionado,-0.09973718155185729
Vía aérea,ARIMA/SARIMA seleccionado,-0.021949064332986268
Vía aérea,ARIMA/SARIMA seleccionado,0.18611600050867239
Vía aérea,ARIMA/SARIMA seleccionado,0.12307481422369726
