region,visitantes_2019,visitantes_2020,cambio_2019_2020,visitantes_2021,cambio_2019_2021,visitantes_2022,nivel_2022_vs_2019,visitantes_2025,nivel_2025_vs_2019,primer_año_recupera_2019
Total mensual,4691820.200434955,1266340.1437961974,-0.7300961908815684,1267767.7664864843,-0.7297919118109095,4316164.4,0.9199338882593734,3597237.9999999995,0.7667041460085188,
Vía aérea,1483385.9100355364,411028.6969468546,-0.72291182343979,723894.1060975875,-0.5119987986940999,1406780.0,0.9483573967385862,1188971.0,0.8015250731156781,
