fecha,region,real,ARIMA/SARIMA seleccionado,Seasonal naïve,Suavizamiento exponencial simple,Holt-Winters,Prophet
2021-04-01,Total mensual,82067.86966045789,210696.3986016625,10039.0,98504.32149712052,98353.12226133529,135250.59256535076
2021-05-01,Total mensual,79974.0,161255.82353357342,9779.0,98504.32149712052,56912.609222918174,104989.89280035859
2021-06-01,Total mensual,106436.0,176892.17579332134,11817.0,98504.32149712052,76547.23767082849,108325.63620147217
2021-07-01,Total mensual,108345.66433359256,197844.5041010247,13484.0,98504.32149712052,99035.98586648247,114796.053218774
2021-08-01,Total mensual,83251.0,202939.55113657698,15357.0,98504.32149712052,105180.44592205153,111049.81770557349
2021-09-01,Total mensual,74913.99999999996,162314.83332242197,25389.528915275994,98504.32149712052,41572.478215512914,77053.79100972193
2021-10-01,Total mensual,93745.0,186393.80765791467,30538.524452566482,98504.32149712052,70548.6015613158,82314.59360393528
2021-11-01,Total mensual,116908.17755114578,226776.3007220255,58632.0,98504.32149712052,98300.54381541439,88750.93359962403
2021-12-01,Total mensual,246898.0,284819.8018251731,59432.0,98504.32149712052,160749.88661860218,104616.63694397721
2022-01-01,Total mensual,151709.0,251174.8653947183,104620.0,98504.32149712052,110996.61905049282,82453.23171859345
2022-02-01,Total mensual,232198.4,193562.8865452044,65463.0,98504.32149712052,59000.609756454185,61051.97909779664
2022-03-01,Total mensual,296130.0,232203.7358532554,105145.0549412881,98504.32149712052,105445.09537325965,66651.07419102215
2022-04-01,Total mensual,386778.0,195638.55052026204,10039.0,98504.32149712052,98467.80824729399,57250.1111454953
2022-05-01,Total mensual,356400.0,161255.82353357342,9779.0,98504.32149712052,57025.30218282647,40553.49079304253
2022-06-01,Total mensual,360283.0,176892.17579332134,11817.0,98504.32149712052,76657.97223971876,38166.12261702815
2022-07-01,Total mensual,397773.0,197844.5041010247,13484.0,98504.32149712052,99144.7960774956,36618.448364254866
2022-08-01,Total mensual,399193.0,202939.55113657698,15357.0,98504.32149712052,105287.3652168966,30580.58687309177
2022-09-01,Total mensual,348618.0,162314.83332242197,25389.528915275994,98504.32149712052,41677.53945474521,17410.697256334865
2022-10-01,Total mensual,407715.0,186393.80765791467,30538.524452566482,98504.32149712052,70651.83703443615,14399.417270899985
2022-11-01,Total mensual,453177.0,226776.3007220255,58632.0,98504.32149712052,98401.98525079305,10048.993219566913
2022-12-01,Total mensual,526190.0,284819.8018251731,59432.0,98504.32149712052,160849.56519323017,4647.402937706891
2023-01-01,Total mensual,291513.0,251174.8653947183,104620.0,98504.32149712052,111094.56539956386,0.0
2023-02-01,Total mensual,221331.00000000003,193562.8865452044,65463.0,98504.32149712052,59096.85398278016,0.0
2023-03-01,Total mensual,279789.9999999997,232203.7358532554,105145.0549412881,98504.32149712052,105539.66705652236,0.0
2023-04-01,Total mensual,306654.0000000003,195638.55052026204,10039.0,98504.32149712052,98560.73645313618,0.0
2023-05-01,Total mensual,239253.00000000006,161255.82353357342,9779.0,98504.32149712052,57116.61547178485,0.0
2023-06-01,Total mensual,253270.0000000001,176892.17579332134,11817.0,98504.32149712052,76747.6986760018,0.0
2023-07-01,Total mensual,275152.9999999998,197844.5041010247,13484.0,98504.32149712052,99232.9632376088,0.0
2023-08-01,Total mensual,292862.00000000006,202939.55113657698,15357.0,98504.32149712052,105374.00019811778,0.0
2023-09-01,Total mensual,247668.99999999985,162314.83332242197,25389.528915275994,98504.32149712052,41762.66888345265,0.0
2023-10-01,Total mensual,191304.0,186393.80765791467,30538.524452566482,98504.32149712052,70735.48707429194,0.0
2023-11-01,Total mensual,284085.0,226776.3007220255,58632.0,98504.32149712052,98484.18161078413,0.0
2023-12-01,Total mensual,365824.9999999998,284819.8018251731,59432.0,98504.32149712052,160930.33313556985,0.0
2024-01-01,Total mensual,333491.0,251174.8653947183,104620.0,98504.32149712052,111173.92974745586,0.0
2024-02-01,Total mensual,294529.9999999999,193562.8865452044,65463.0,98504.32149712052,59174.83912804771,0.0
2024-03-01,Total mensual,349965.0000000001,232203.7358532554,105145.0549412881,98504.32149712052,105616.29696710485,0.0
2024-04-01,Total mensual,265183.0000000001,195638.55052026204,10039.0,98504.32149712052,98636.0346804554,0.0
2024-05-01,Total mensual,265989.00000000006,161255.82353357342,9779.0,98504.32149712052,57190.605157983366,0.0
2024-06-01,Total mensual,262613.00000000006,176892.17579332134,11817.0,98504.32149712052,76820.40256105538,0.0
2024-07-01,Total mensual,295477.0000000001,197844.5041010247,13484.0,98504.32149712052,99304.40366631531,0.0
