fecha,Total mensual,Vía aérea
2009-01-01,183505.5905347593,81693.0
2009-02-01,149426.2539075136,70099.0
2009-03-01,174237.2270951157,84494.0
2009-04-01,182842.4899173554,80618.0
2009-05-01,133194.66765069554,64621.0
2009-06-01,156292.12857142845,81500.0
2009-07-01,140089.27569229022,74818.0
2009-08-01,189382.18837563434,76026.0
2009-09-01,135790.18845637582,61974.0
2009-10-01,156825.9666666667,72950.0
2009-11-01,189158.16000000012,82455.0
2009-12-01,238031.58770897836,104131.0
2010-01-01,199130.9858823529,85216.0
2010-02-01,152599.55714285714,69352.0
2010-03-01,176632.7872462976,88849.0
2010-04-01,179655.10000000006,76466.0
2010-05-01,146392.53513761464,65070.0
2010-06-01,160401.53999999995,84570.0
2010-07-01,203255.90921084874,102317.0
2010-08-01,192892.4358336446,79180.0
2010-09-01,133847.88865537662,62853.0
2010-10-01,166234.54099203463,76272.0
2010-11-01,193720.08842105273,84445.0
2010-12-01,248135.48519124987,99643.0
2011-01-01,199120.59029411766,81827.0
2011-02-01,160806.84761904762,69199.0
2011-03-01,182584.30508188406,77868.0
2011-04-01,211761.74419302514,77120.0
2011-05-01,156728.34999999995,68133.0
2011-06-01,170083.35714285713,82437.0
2011-07-01,204325.66331283798,97679.0
2011-08-01,187854.6781400468,77477.0
2011-09-01,144432.6912044162,65329.0
2011-10-01,159566.86878067983,71644.0
2011-11-01,196650.4950404817,86040.0
2011-12-01,257540.5152835257,101211.0
2012-01-01,210834.305882353,81067.0
2012-02-01,169001.26952380955,70168.0
2012-03-01,196093.11365490346,84564.0
2012-04-01,193661.7499999999,75122.0
2012-05-01,164972.46000000002,71959.0
2012-06-01,179413.4692857143,87824.0
2012-07-01,203982.72000106898,96204.0
2012-08-01,188092.5113766111,72237.0
2012-09-01,151540.5526229508,65651.0
2012-10-01,174443.9581938911,75434.0
2012-11-01,208257.7518037972,87872.0
2012-12-01,259521.71697674415,102428.0
2013-01-01,195440.51999839998,80051.0
2013-02-01,156393.08999989994,69139.0
2013-03-01,238388.6366329104,90893.0
2013-04-01,192705.51000000004,72202.0
2013-05-01,188955.55999999997,71046.0
2013-06-01,203522.43999999997,89180.0
2013-07-01,216160.6217850375,95206.0
2013-08-01,201934.6200000001,77913.0
2013-09-01,168085.2500028,66627.0
2013-10-01,172476.97999999995,79527.0
2013-11-01,218786.41999999993,92515.0
2013-12-01,279319.32999999996,112488.0
2014-01-01,234446.53999999992,90200.0
2014-02-01,182721.75,78209.0
2014-03-01,215178.73433878162,92135.0
2014-04-01,243823.90000000002,89600.0
2014-05-01,196933.52000000008,80383.0
2014-06-01,202425.34999985993,99084.0
2014-07-01,239373.68999999997,102729.0
2014-08-01,229607.76999999996,86492.0
2014-09-01,190814.11,73602.0
2014-10-01,226630.01000000004,86265.0
2014-11-01,262353.2899999996,95776.0
2014-12-01,338293.3,117878.0
2015-01-01,253275.000001625,95064.0
2015-02-01,207976.49999823695,79878.0
2015-03-01,265027.28444746643,98121.0
2015-04-01,271468.4999999886,87540.0
2015-05-01,238063.29823437225,84334.0
2015-06-01,252347.99999916193,104893.0
2015-07-01,257181.99999890625,106927.0
2015-08-01,260587.50000028274,90600.0
2015-09-01,209004.49999934426,82888.0
2015-10-01,235017.99999686194,97243.0
2015-11-01,252959.50000221597,110173.0
2015-12-01,338732.50000370404,129751.0
2016-01-01,279290.9999999999,109052.0
2016-02-01,234617.99999999988,90944.0
2016-03-01,347084.00000000006,117172.0
2016-04-01,248439.00000000006,90938.0
2016-05-01,257081.0,96379.0
2016-06-01,268068.6562500002,113143.0
2016-07-01,308371.75939849706,130062.0
2016-08-01,309029.99999999977,100986.0
2016-09-01,215265.39883619457,80637.42857142864
2016-10-01,299690.0,102214.0
2016-11-01,325923.0,111954.0
2016-12-01,403355.0218579234,111842.0
2017-01-01,327088.2196146738,99217.0
2017-02-01,276842.8785826486,94604.0
2017-03-01,339725.37321970536,106339.0
2017-04-01,398107.9311828097,110230.00000000001
2017-05-01,280611.37535503623,89750.0
2017-06-01,300218.7854,114128.0
2017-07-01,359006.57369999983,134449.0
2017-08-01,400119.0166000009,100536.0
2017-09-01,244041.30469999992,91091.0
2017-10-01,274807.10442170204,109105.00000000001
2017-11-01,316608.2421300007,121392.0
2017-12-01,404283.4961000003,142949.0
2018-01-01,356933.8923320003,117446.0
2018-02-01,287123.4266880002,96337.0
2018-03-01,435063.99999999884,124266.0
2018-04-01,390488.66023500025,104951.0
2018-05-01,303919.7562999992,103815.0
2018-06-01,344009.8457930184,120718.00000000068
2018-07-01,359320.84170000005,134933.0
2018-08-01,378651.77360000083,110568.00000000073
2018-09-01,288075.091731506,94931.29173150647
2018-10-01,314775.24679066514,115003.99628460119
2018-11-01,346802.54537830804,135409.36194730835
2018-12-01,451183.5759149496,156607.3959668107
2019-01-01,409070.1841228372,126566.13349998859
2019-02-01,322067.5757750438,106574.12156398408
2019-03-01,399233.16485603753,118895.93695089713
2019-04-01,438126.02571626974,125309.99999999897
2019-05-01,322838.7189971024,109523.99999999949
2019-06-01,360723.62495207327,127604.99999999904
2019-07-01,424549.22910102265,138562.64109759167
2019-08-01,435156.2167264152,115044.99999999999
2019-09-01,326378.553693717,101240.07692307641
2019-10-01,333222.5816606803,119128.99999999866
2019-11-01,404633.87888198986,137092.00000000227
2019-12-01,515820.44595176575,157842.00000000003
2020-01-01,465740.1746839287,130697.00219828535
2020-02-01,389261.6257059582,112885.99999999996
2020-03-01,176870.29003846797,54830.992130115425
