region,modelo,residuo
Total mensual,Holt-Winters,-21695.153728859645
Total mensual,Holt-Winters,-290.6784211209524
Total mensual,Holt-Winters,-61659.95931628431
Total mensual,Holt-Winters,93148.60877534685
Total mensual,Holt-Winters,15541.817003328993
Total mensual,Holt-Winters,-6313.1816841956315
Vía aérea,ARIMA/SARIMA seleccionado,-0.1908158443753596
Vía aérea,ARIMA/SARIMA seleccionado,-0.09474126140379013
Vía aérea,ARIMA/SARIMA seleccionado,0.12905023564230866
Vía aérea,ARIMA/SARIMA seleccionado,-0.039797386827888914
Vía aérea,ARIMA/SARIMA seleccionado,-0.1069137770968851
Vía aérea,ARIMA/SARIMA seleccionado,0.20198978434371284
Vía aérea,ARIMA/SARIMA seleccionado,0.1298419626542877
Vía aérea,ARIMA/SARIMA seleccionado,-0.2162013076813718
Vía aérea,ARIMA/SARIMA seleccionado,-0.10134167967481211
Vía aérea,ARIMA/SARIMA seleccionado,0.09356618381110948
Vía aérea,ARIMA/SARIMA seleccionado,0.14641027139825447
Vía aérea,ARIMA/SARIMA seleccionado,0.14739999191044895
Vía aérea,ARIMA/SARIMA seleccionado,-0.2043424719406879
Vía aérea,ARIMA/SARIMA seleccionado,-0.06946071564714451
Vía aérea,ARIMA/SARIMA seleccionado,0.19310240640047738
Vía aérea,ARIMA/SARIMA seleccionado,-0.1504626890175924
Vía aérea,ARIMA/SARIMA seleccionado,0.0008269757656993448
Vía aérea,ARIMA/SARIMA seleccionado,0.19039278345601396
Vía aérea,ARIMA/SARIMA seleccionado,0.0675095842077944
Vía aérea,ARIMA/SARIMA seleccionado,-0.2559730827193416
Vía aérea,ARIMA/SARIMA seleccionado,-0.029008774266642945
Vía aérea,ARIMA/SARIMA seleccionado,0.12016534246397015
Vía aérea,ARIMA/SARIMA seleccionado,0.11863162000024374
Vía aérea,ARIMA/SARIMA seleccionado,0.15062335355983159
Vía aérea,ARIMA/SARIMA seleccionado,-0.2274247995988823
Vía aérea,ARIMA/SARIMA seleccionado,-0.06746454894478049
Vía aérea,ARIMA/SARIMA seleccionado,0.2764788021450464
Vía aérea,ARIMA/SARIMA seleccionado,-0.2719113890594844
Vía aérea,ARIMA/SARIMA seleccionado,0.05498461037345592
Vía aérea,ARIMA/SARIMA seleccionado,0.20015536606222462
Vía aérea,ARIMA/SARIMA seleccionado,0.04202297995460391
Vía aérea,ARIMA/SARIMA seleccionado,-0.16460736250905406
Vía aérea,ARIMA/SARIMA seleccionado,-0.10114238338158721
Vía aérea,ARIMA/SARIMA seleccionado,0.18220231716438384
Vía aérea,ARIMA/SARIMA seleccionado,0.10994275432638112
Vía aérea,ARIMA/SARIMA seleccionado,0.20576690125633057
Vía aérea,ARIMA/SARIMA seleccionado,-0.19881502708541454
Vía aérea,ARIMA/SARIMA seleccionado,-0.04772270620279784
Vía aérea,ARIMA/SARIMA seleccionado,0.18599557937534783
Vía aérea,ARIMA/SARIMA seleccionado,-0.04054785071862277
Vía aérea,ARIMA/SARIMA seleccionado,-0.060990231692031216
Vía aérea,ARIMA/SARIMA seleccionado,0.24069634799714557
Vía aérea,ARIMA/SARIMA seleccionado,0.022292610431748017
Vía aérea,ARIMA/SARIMA seleccionado,-0.11507230399294066
Vía aérea,ARIMA/SARIMA seleccionado,-0.0992974434135192
Vía aérea,ARIMA/SARIMA seleccionado,0.18358215760760466
Vía aérea,ARIMA/SARIMA seleccionado,0.07931629978641475
Vía aérea,ARIMA/SARIMA seleccionado,0.23384347337511535
Vía aérea,ARIMA/SARIMA seleccionado,-0.1917870341912753
Vía aérea,ARIMA/SARIMA seleccionado,-0.07054075627610956
Vía aérea,ARIMA/SARIMA seleccionado,0.23873286178309527
Vía aérea,ARIMA/SARIMA seleccionado,-0.12934375646735852
Vía aérea,ARIMA/SARIMA seleccionado,0.031356290146751675
Vía aérea,ARIMA/SARIMA seleccionado,0.23255286958928245
Vía aérea,ARIMA/SARIMA seleccionado,0.019270118646254275
Vía aérea,ARIMA/SARIMA seleccionado,-0.09973718031683099
Vía aérea,ARIMA/SARIMA seleccionado,-0.021949062937709485
Vía aérea,ARIMA/SARIMA seleccionado,0.18611600071727175
Vía aérea,ARIMA/SARIMA seleccionado,0.12307481274485532
Vía aérea,ARIMA/SARIMA seleccionado,0.20539384866202504
Vía aérea,ARIMA/SARIMA seleccionado,-0.12278670781362777
Vía aérea,ARIMA/SARIMA seleccionado,-0.07034696216339853
Vía aérea,ARIMA/SARIMA seleccionado,0.3126336234076472
Vía aérea,ARIMA/SARIMA seleccionado,-0.25427194222765337
Vía aérea,ARIMA/SARIMA seleccionado,0.17080062720723355
Vía aérea,ARIMA/SARIMA seleccionado,0.16124569489693208
Vía aérea,ARIMA/SARIMA seleccionado,0.1754749430537803
Vía aérea,ARIMA/SARIMA seleccionado,-0.1928409392779269
Vía aérea,ARIMA/SARIMA seleccionado,-0.10897204725421616
Vía aérea,ARIMA/SARIMA seleccionado,0.28322450921640296
Vía aérea,ARIMA/SARIMA seleccionado,0.07111665570962522
Vía aérea,ARIMA/SARIMA seleccionado,0.05917884946806318
Vía aérea,ARIMA/SARIMA seleccionado,-0.05632914838389169
Vía aérea,ARIMA/SARIMA seleccionado,0.025174418795550935
Vía aérea,ARIMA/SARIMA seleccionado,0.15638569983056172
Vía aérea,ARIMA/SARIMA seleccionado,0.06091427315832476
Vía aérea,ARIMA/SARIMA seleccionado,-0.14553434230727014
