region,inicio,fin,frecuencia,observaciones,media,desviacion_estandar,coeficiente_variacion,acf_rezago_1,acf_rezago_12,razon_varianza_segunda_primera_mitad,transformacion_propuesta,d_sugerido_adf_log1p,D_estacional_propuesto,p_q_a_comparar
Total mensual,2009-01,2026-06,Mensual,210,248990.17663654778,100744.49295787937,0.40461231972591677,0.838516993535038,0.3070440003420507,4.065648344108029,"log1p: estabiliza la varianza, admite ceros y conserva predicciones no negativas al invertirla",0,1,"p∈{0,1,2}; q∈{0,1}; selección por AIC y RMSE"
Vía aérea,2009-01,2026-06,Mensual,210,90780.23898848398,27728.03232666585,0.305441279243419,0.7824874631969471,0.2511892921564459,5.26729166729302,"log1p: estabiliza la varianza, admite ceros y conserva predicciones no negativas al invertirla",0,1,"p∈{0,1,2}; q∈{0,1}; selección por AIC y RMSE"
