region,fuerza_estacional,fuerza_tendencia,mes_pico_promedio,mes_valle_promedio
Vía terrestre,0.17692864964977573,0.8285888578478796,12,9
Vía marítima,0.35553675660421025,0.6897426535717868,12,6
