region,visitantes_2019,visitantes_2020,cambio_2019_2020,visitantes_2021,cambio_2019_2021,visitantes_2022,nivel_2022_vs_2019,visitantes_2025,nivel_2025_vs_2019,primer_año_recupera_2019
Vía terrestre,3077645.290399418,813319.4468493428,-0.7357332083114134,539965.6603888968,-0.8245523413392386,2883354.4,0.9368702783892932,2401322.9999999995,0.7802468359465671,
Vía marítima,130789.0,41992.0,-0.6789332436214055,3908.0,-0.9701198112991154,26030.0,0.19902285360389635,6944.0,0.05309315003555345,
