fecha,region,real,ARIMA/SARIMA seleccionado,Seasonal naïve,Suavizamiento exponencial simple,Holt-Winters,Prophet
2021-04-01,Vía terrestre,47526.178229056204,130422.57882691389,9550.0,42765.5468900386,48138.21795464614,81509.96972136732
2021-05-01,Vía terrestre,20456.0,96204.48604644848,9169.0,42765.5468900386,19022.775318596454,60678.44076996824
2021-06-01,Vía terrestre,30449.0,100801.69709524862,10399.0,42765.5468900386,25496.79169580748,59839.75102185111
2021-07-01,Vía terrestre,37165.66433359256,114979.3246059911,12437.0,42765.5468900386,37983.89197460402,62640.69987855918
2021-08-01,Vía terrestre,27571.0,129090.82813240787,14098.0,42765.5468900386,59549.455266908946,66997.66369589191
2021-09-01,Vía terrestre,28866.0,98596.59994371263,19783.528915275994,42765.5468900386,12400.486796197969,42656.37376293332
2021-10-01,Vía terrestre,40325.0,106790.278054608,21063.82183411262,42765.5468900386,26023.600893969997,41960.94553963745
2021-11-01,Vía terrestre,42922.17755114579,119193.27173596859,19638.0,42765.5468900386,36187.38906563865,42222.29942097723
2021-12-01,Vía terrestre,122049.0,142576.76805124496,5715.0,42765.5468900386,81747.04233028229,50925.69844183611
2022-01-01,Vía terrestre,53281.0,146700.98865367085,60972.0,42765.5468900386,52977.92217530646,39245.92624727732
2022-02-01,Vía terrestre,147175.4,108724.54331915746,36679.0,42765.5468900386,17940.366951050273,27263.128379739926
2022-03-01,Vía terrestre,189137.0,128636.97855089084,44984.64027510227,42765.5468900386,47564.966985622275,28664.842938214948
2022-04-01,Vía terrestre,258094.0,120332.48647679013,9550.0,42765.5468900386,48284.213041976815,23443.896967637116
2022-05-01,Vía terrestre,243664.0,96204.48604644848,9169.0,42765.5468900386,19166.409480867384,14126.55310512443
2022-06-01,Vía terrestre,234967.0,100801.69709524862,10399.0,42765.5468900386,25638.10311216044,10696.69039911878
2022-07-01,Vía terrestre,266315.0,114979.3246059911,12437.0,42765.5468900386,38122.918206775816,7744.31518086306
2022-08-01,Vía terrestre,290297.0,129090.82813240787,14098.0,42765.5468900386,59686.233269215634,3458.412869022867
2022-09-01,Vía terrestre,245409.0,98596.59994371263,19783.528915275994,42765.5468900386,12535.05292535761,0.0
2022-10-01,Vía terrestre,281801.0,106790.278054608,21063.82183411262,42765.5468900386,26155.990918766576,0.0
2022-11-01,Vía terrestre,315529.0,119193.27173596859,19638.0,42765.5468900386,36317.63817642971,0.0
2022-12-01,Vía terrestre,357685.0,142576.76805124496,5715.0,42765.5468900386,81875.18514835284,0.0
2023-01-01,Vía terrestre,214429.99999999997,146700.98865367085,60972.0,42765.5468900386,53103.99276207155,0.0
2023-02-01,Vía terrestre,145396.00000000003,108724.54331915746,36679.0,42765.5468900386,18064.398817108857,0.0
2023-03-01,Vía terrestre,186351.99999999968,128636.97855089084,44984.64027510227,42765.5468900386,47686.993099664556,0.0
2023-04-01,Vía terrestre,226626.0000000003,120332.48647679013,9550.0,42765.5468900386,48404.2658395476,0.0
2023-05-01,Vía terrestre,166906.00000000006,96204.48604644848,9169.0,42765.5468900386,19284.520872987756,0.0
2023-06-01,Vía terrestre,164892.0000000001,100801.69709524862,10399.0,42765.5468900386,25754.304493809934,0.0
2023-07-01,Vía terrestre,175496.99999999983,114979.3246059911,12437.0,42765.5468900386,38237.240465237475,0.0
2023-08-01,Vía terrestre,213118.0000000001,129090.82813240787,14098.0,42765.5468900386,59798.7067922861,0.0
2023-09-01,Vía terrestre,180016.99999999985,98596.59994371263,19783.528915275994,42765.5468900386,12645.707609424455,0.0
2023-10-01,Vía terrestre,131699.0,106790.278054608,21063.82183411262,42765.5468900386,26264.85617675499,0.0
2023-11-01,Vía terrestre,194406.99999999997,119193.27173596859,19638.0,42765.5468900386,36424.74294562074,0.0
2023-12-01,Vía terrestre,256911.99999999985,142576.76805124496,5715.0,42765.5468900386,81980.55789807509,0.0
2024-01-01,Vía terrestre,236880.00000000003,146700.98865367085,60972.0,42765.5468900386,53207.66150126865,0.0
2024-02-01,Vía terrestre,195023.9999999999,108724.54331915746,36679.0,42765.5468900386,18166.39110178438,0.0
2024-03-01,Vía terrestre,240757.00000000015,128636.97855089084,44984.64027510227,42765.5468900386,47787.336040206705,0.0
2024-04-01,Vía terrestre,176774.0000000001,120332.48647679013,9550.0,42765.5468900386,48502.98610793533,0.0
2024-05-01,Vía terrestre,177469.00000000003,96204.48604644848,9169.0,42765.5468900386,19381.644709880406,0.0
2024-06-01,Vía terrestre,157594.00000000006,100801.69709524862,10399.0,42765.5468900386,25849.85771552223,0.0
2024-07-01,Vía terrestre,184561.00000000015,114979.3246059911,12437.0,42765.5468900386,38331.24847060171,0.0
2024-08-01,Vía terrestre,223302.00000000012,129090.82813240787,14098.0,42765.5468900386,59891.19456940335,0.0
2024-09-01,Vía terrestre,170231.99999999994,98596.59994371263,19783.528915275994,42765.5468900386,12736.699742306628,0.0
2024-10-01,Vía terrestre,189998.0000000002,106790.278054608,21063.82183411262,42765.5468900386,26354.37685185945,0.0
2024-11-01,Vía terrestre,221084.00000000006,119193.27173596859,19638.0,42765.5468900386,36512.815958279265,0.0
2024-12-01,Vía terrestre,270242.9999999999,142576.76805124496,5715.0,42765.5468900386,82067.20665881888,0.0
2025-01-01,Vía terrestre,204868.9999999999,146700.98865367085,60972.0,42765.5468900386,53292.90904205103,0.0
2025-02-01,Vía terrestre,175050.00000000006,108724.54331915746,36679.0,42765.5468900386,18250.260082102883,0.0
2025-03-01,Vía terrestre,192069.99999999994,128636.97855089084,44984.64027510227,42765.5468900386,47869.84875312615,0.0
2025-04-01,Vía terrestre,226671.00000000015,120332.48647679013,9550.0,42765.5468900386,48584.164486013506,0.0
2025-05-01,Vía terrestre,181985.9999999998,96204.48604644848,9169.0,42765.5468900386,19461.51033099793,0.0
2025-06-01,Vía terrestre,173922.99999999994,100801.69709524862,10399.0,42765.5468900386,25928.431808618123,0.0
2025-07-01,Vía terrestre,189324.0000000001,114979.3246059911,12437.0,42765.5468900386,38408.55192131622,0.0
2025-08-01,Vía terrestre,224363.00000000012,129090.82813240787,14098.0,42765.5468900386,59967.24792562952,0.0
2025-09-01,Vía terrestre,165690.99999999994,98596.59994371263,19783.528915275994,42765.5468900386,12811.52321965211,0.0
2025-10-01,Vía terrestre,186906.00000000012,106790.278054608,21063.82183411262,42765.5468900386,26427.990339019976,0.0
2025-11-01,Vía terrestre,216329.99999999985,119193.27173596859,19638.0,42765.5468900386,36585.239022325215,0.0
2025-12-01,Vía terrestre,264139.99999999965,142576.76805124496,5715.0,42765.5468900386,82138.45855039639,0.0
2026-01-01,Vía terrestre,205027.0000000001,146700.98865367085,60972.0,42765.5468900386,53363.008700498955,0.0
2026-02-01,Vía terrestre,146468.99999999997,108724.54331915746,36679.0,42765.5468900386,18319.226140487022,0.0
2026-03-01,Vía terrestre,183014.00000000017,128636.97855089084,44984.64027510227,42765.5468900386,47937.69954319211,0.0
2026-04-01,Vía terrestre,175449.99999999997,120332.48647679013,9550.0,42765.5468900386,48650.91804305937,0.0
2026-05-01,Vía terrestre,164258.99999999977,96204.48604644848,9169.0,42765.5468900386,19527.184398668243,0.0
2026-06-01,Vía terrestre,160604.00000000003,100801.69709524862,10399.0,42765.5468900386,25993.04384362026,0.0
2021-04-01,Vía marítima,0.0,0.7706186470058896,0.0,2.284734796898787e-05,0.0,3157.874378174956
2021-05-01,Vía marítima,0.0,1.2964834821015023,0.0,2.284734796898787e-05,0.0,1234.4029225598213
2021-06-01,Vía marítima,0.0,1.58505087082875,0.0,2.284734796898787e-05,0.0,178.3407864603564
2021-07-01,Vía marítima,0.0,1.7281440369006924,0.0,2.284734796898787e-05,0.0,143.5214818924585
2021-08-01,Vía marítima,0.0,1.7958726260520803,0.0,2.284734796898787e-05,0.0,517.6262389428803
2021-09-01,Vía marítima,0.0,1.8272547881791723,0.0,2.284734796898787e-05,0.0,63.332793219744104
2021-10-01,Vía marítima,0.0,1.8416553261713864,0.0,2.284734796898787e-05,0.0,118.39993201994324
2021-11-01,Vía marítima,1313.0,1.848234242433191,0.0,2.284734796898787e-05,1138.6734951476888,0.0
2021-12-01,Vía marítima,2595.0,1.851233789152419,0.0,2.284734796898787e-05,1337.2832965499183,0.0
2022-01-01,Vía marítima,676.0,1.8526001293516488,0.0,2.284734796898787e-05,3613.5881429128467,0.0
2022-02-01,Vía marítima,448.0,1.8532222589502159,0.0,2.284734796898787e-05,0.0,0.0
2022-03-01,Vía marítima,852.0,1.8535054766581582,0.0,2.284734796898787e-05,0.0,0.0
2022-04-01,Vía marítima,3902.0,1.8536343972829634,0.0,2.284734796898787e-05,0.0,0.0
2022-05-01,Vía marítima,897.0,1.8536930796078555,0.0,2.284734796898787e-05,0.0,0.0
2022-06-01,Vía marítima,0.0,1.8537197902570448,0.0,2.284734796898787e-05,0.0,0.0
2022-07-01,Vía marítima,0.0,1.8537319481421584,0.0,2.284734796898787e-05,0.0,0.0
2022-08-01,Vía marítima,0.0,1.8537374820257015,0.0,2.284734796898787e-05,0.0,0.0
2022-09-01,Vía marítima,0.0,1.8537400008696503,0.0,2.284734796898787e-05,0.0,0.0
2022-10-01,Vía marítima,2975.0,1.8537411473646777,0.0,2.284734796898787e-05,0.0,0.0
2022-11-01,Vía marítima,6238.0,1.853741669211371,0.0,2.284734796898787e-05,805.3287677444814,0.0
2022-12-01,Vía marítima,10042.0,1.8537419067387237,0.0,2.284734796898787e-05,1005.6052927837268,0.0
2023-01-01,Vía marítima,682.0,1.8537420148533097,0.0,2.284734796898787e-05,3283.568529165486,0.0
2023-02-01,Vía marítima,529.0,1.8537420640634876,0.0,2.284734796898787e-05,0.0,0.0
2023-03-01,Vía marítima,705.0,1.8537420864623302,0.0,2.284734796898787e-05,0.0,0.0
2023-04-01,Vía marítima,674.0,1.8537420966575409,0.0,2.284734796898787e-05,0.0,0.0
2023-05-01,Vía marítima,545.0,1.8537421012980633,0.0,2.284734796898787e-05,0.0,0.0
2023-06-01,Vía marítima,598.0,1.8537421034102748,0.0,2.284734796898787e-05,0.0,0.0
2023-07-01,Vía marítima,624.0,1.8537421043716835,0.0,2.284734796898787e-05,0.0,0.0
2023-08-01,Vía marítima,592.0,1.8537421048092853,0.0,2.284734796898787e-05,0.0,0.0
2023-09-01,Vía marítima,346.0,1.8537421050084668,0.0,2.284734796898787e-05,0.0,0.0
2023-10-01,Vía marítima,279.0,1.8537421050991274,0.0,2.284734796898787e-05,0.0,0.0
2023-11-01,Vía marítima,538.0,1.853742105140393,0.0,2.284734796898787e-05,491.44376985696545,0.0
2023-12-01,Vía marítima,505.0,1.853742105159176,0.0,2.284734796898787e-05,693.2897198856481,0.0
2024-01-01,Vía marítima,572.0,1.8537421051677254,0.0,2.284734796898787e-05,2972.8145341318977,0.0
2024-02-01,Vía marítima,635.0,1.8537421051716167,0.0,2.284734796898787e-05,0.0,0.0
2024-03-01,Vía marítima,717.0,1.8537421051733878,0.0,2.284734796898787e-05,0.0,0.0
2024-04-01,Vía marítima,552.0,1.8537421051741938,0.0,2.284734796898787e-05,0.0,0.0
2024-05-01,Vía marítima,523.0,1.8537421051745606,0.0,2.284734796898787e-05,0.0,0.0
