region,inicio,fin,frecuencia,observaciones,media,desviacion_estandar,coeficiente_variacion,acf_rezago_1,acf_rezago_12,razon_varianza_segunda_primera_mitad,transformacion_propuesta,d_sugerido_adf_log1p,D_estacional_propuesto,p_q_a_comparar
Vía terrestre,2009-01,2026-06,Mensual,210,152358.59479092094,75042.29294569863,0.4925373133604827,0.8415277965360168,0.33471944777961193,3.5819945238186253,"log1p: estabiliza la varianza, admite ceros y conserva predicciones no negativas al invertirla",0,1,"p∈{0,1,2}; q∈{0,1}; selección por AIC y RMSE"
Vía marítima,2009-01,2026-06,Mensual,210,5851.342857142857,6708.8017289131,1.146540527995813,0.6887776090726422,0.72675118429423,1.6512349516191474,"log1p: estabiliza la varianza, admite ceros y conserva predicciones no negativas al invertirla",1,1,"p∈{0,1,2}; q∈{0,1}; selección por AIC y RMSE"
