region,fuerza_estacional,fuerza_tendencia,coeficiente_variacion,cambio_2019_2020,cambio_2019_2021,crecimiento_anualizado,peor_caida_pandemia
Vía aérea,0.15908313179524358,0.6942559807117927,0.305441279243419,-0.72291182343979,-0.5119987986940999,0.017782602625493915,-0.72291182343979
Vía terrestre,0.17692864964977606,0.8285888578478795,0.4925373133604827,-0.7357332083114134,-0.8245523413392386,0.05128219487456809,-0.8245523413392386
Vía marítima,0.35553675660421,0.6897426535717868,1.146540527995813,-0.6789332436214055,-0.9701198112991154,-0.14473965575056702,-0.9701198112991154
