region,fuerza_estacional,fuerza_tendencia,coeficiente_variacion,cambio_2019_2020,cambio_2019_2021,crecimiento_anualizado,peor_caida_pandemia
América Del Centro,0.2630802402850311,0.8282863416728081,0.41942754946203215,-0.7443109540812258,-0.7675455739257817,0.029049706380440243,-0.7675455739257817
América Del Norte,0.08347946313864707,0.6251235304420528,0.4099016962097934,-0.7414430859767525,-0.5603917969586282,0.046183023816701585,-0.7414430859767525
Europa,0.21074175653602822,0.7225331538050763,0.4300401758309114,-0.7182969989681763,-0.7424240485156826,0.030066123133163813,-0.7424240485156826
