Región,viajeros
AMÉRICA DEL CENTRO,37406534.831772566
AMÉRICA DEL NORTE,9383035.372518081
EUROPA,1906163.3821826207
AMÉRICA DEL SUR,1300421.8022885344
Cruceristas,1078372.0
OTROS EUROPEOS,316457.46547828097
ASIA,243298.39874112327
OTROS PAISES DEL MUNDO,156002.14630563997
OCEANÍA,135035.92162598876
ORIENTE MEDIO,127626.09840703027
