País,viajeros
El Salvador,16213975.460637605
Guatemala,14792331.349785285
Estados Unidos de América,7047842.963420366
Honduras,2788232.816192475
México,1808945.7790694959
Belice,1328255.7686093096
Nicaragua,1164342.7311080275
Cruceristas,1078372.0
Costa Rica,882179.7476337904
Colombia,561035.317097089
