Métrica,Valor
Inicio,2009-01
Fin,2026-06
Frecuencia,Mensual
Observaciones,210
Media mensual,248990.17663654778
Desviación estándar,100744.49295787937
Coeficiente de variación,0.40461231972591677
ACF rezago 1,0.8385169935350378
ACF rezago 12,0.30704400034205065
ADF nivel: estadístico,-3.0702056847833497
ADF nivel: p-valor,0.02883812288384266
ADF primera diferencia: estadístico,-4.037756206882752
ADF primera diferencia: p-valor,0.0012252140312717613
