region,visitantes_2019,visitantes_2020,cambio_2019_2020,visitantes_2021,cambio_2019_2021,visitantes_2022,nivel_2022_vs_2019,visitantes_2025,nivel_2025_vs_2019,primer_año_recupera_2019
América Del Centro,3247683.392078312,830397.0679667519,-0.7443109540812258,754938.3789763346,-0.7675455739257817,2449577.6,0.7542538185757157,2143693.539597544,0.6600685106271137,
América Del Norte,602557.0000000002,155795.27844310598,-0.7414430859767525,264889.0,-0.5603917969586282,533316.0,0.8850880497612671,839380.1007239071,1.3930302041531453,2023.0
Europa,141237.96575205316,39787.1588119833,-0.7182969989681763,36379.50341429454,-0.7424240485156826,124741.0,0.8831973707337728,176261.93310173863,1.2479784182899585,2023.0
