fecha,América Del Centro,América Del Norte,Europa
2009-01-01,93848.08764638269,36033.941698790186,12061.0
2009-02-01,73988.38726361323,33970.304939764275,12642.0
2009-03-01,96398.15089958302,41482.52291901983,13676.0
2009-04-01,114286.68210111491,39595.78559290153,10562.0
2009-05-01,83304.46991481968,29239.054435873386,6245.0
2009-06-01,95701.16345514706,42017.63992312568,6653.0
2009-07-01,96269.46908603169,29178.482656187807,6326.0
2009-08-01,125733.14353015932,36449.89827360508,10170.0
2009-09-01,98025.43176153029,22160.70177407129,6324.0
2009-10-01,111261.15331887046,27973.456467998454,7377.0
2009-11-01,125806.13586866151,30074.137090030097,10931.0
2009-12-01,157418.3972692784,46425.25392786106,9223.0
2010-01-01,106483.00864475268,37862.25686690369,9873.0
2010-02-01,81072.35634648062,33685.103879544135,10714.0
2010-03-01,95843.31992274322,48435.772836797805,11484.0
2010-04-01,119646.12130044593,34912.7840027252,8727.0
2010-05-01,97354.13690504673,30032.47204263936,7041.0
2010-06-01,99435.3180438589,42844.6290307679,6520.0
2010-07-01,125130.32973600173,54110.503123979426,12284.0
2010-08-01,127001.82976361034,37421.200852685346,11594.0
2010-09-01,95456.26841146746,21925.081286924524,6155.0
2010-10-01,114303.65364534994,27855.470675876837,7993.0
2010-11-01,129744.65774227306,31066.677954471008,11268.0
2010-12-01,166536.38986866781,44218.65649802123,9704.0
2011-01-01,115145.08491200685,35403.47231500847,10214.0
2011-02-01,88483.13519497334,32746.73039589335,10924.0
2011-03-01,111569.58910726917,39814.20190138811,10649.0
2011-04-01,138143.3940879542,37249.370907135686,9218.0
2011-05-01,102170.69393194425,30125.85384931567,6639.0
2011-06-01,108360.53593042374,41325.93279548117,6452.0
2011-07-01,131289.94151871614,51321.06318306561,10530.0
2011-08-01,124097.07098620424,33741.422718375834,10035.0
2011-09-01,105097.67675853525,23078.162961206715,5963.0
2011-10-01,110734.98800635971,26427.092589548163,7459.0
2011-11-01,136002.00359961748,31803.074301626315,11263.0
2011-12-01,181883.34268717706,45546.767983558966,9261.0
2012-01-01,122214.34001954578,36525.61774875529,9565.0
2012-02-01,93819.68012200746,35615.76207630571,10801.0
2012-03-01,122296.00249908665,44971.20575306145,11173.0
2012-04-01,132244.41918745663,34347.81707520896,8251.0
2012-05-01,105871.61299981305,32340.899043989753,6557.0
2012-06-01,112976.84376978572,46108.72045709654,6124.0
2012-07-01,129027.92988085591,52488.44079197266,9777.0
2012-08-01,119927.49277007497,34261.910470307645,9099.0
2012-09-01,109162.6607248607,25049.86726162883,5878.0
2012-10-01,122678.05912848748,30033.3783682761,7802.0
2012-11-01,140790.3067351314,34753.761583425694,12078.0
2012-12-01,169915.19576479474,50497.55674248289,10324.0
2013-01-01,114928.74041598607,36342.95611943795,10470.0
2013-02-01,85722.28016658731,35378.61929500824,11147.0
2013-03-01,146822.4160904498,50680.1392725129,10944.0
2013-04-01,127787.30788467008,33933.729338032346,8564.0
2013-05-01,130523.20483401864,33675.4520809454,6666.0
