fecha,América Del Centro,América Del Norte,Europa
2009-01-01,113501.9105347593,36864.68,12563.0
2009-02-01,84955.62695957822,34375.626947935365,12654.0
2009-03-01,101022.15000000002,41815.07709511568,13825.0
2009-04-01,117166.5699173554,39699.920000000006,10601.0
2009-05-01,86209.17765069555,29301.49,6358.0
2009-06-01,100317.85999999988,42220.26857142856,6673.0
2009-07-01,98580.17136557611,29302.10432671411,6358.0
2009-08-01,127952.37999999983,36674.808375634515,10196.0
2009-09-01,100740.62845637582,22432.559999999998,6333.0
2009-10-01,114790.47000000002,28111.496666666666,7379.0
2009-11-01,129154.39000000013,30217.769999999997,10933.0
2009-12-01,160856.76770897835,46536.82,9234.0
2010-01-01,128686.18999999996,38813.79588235294,10352.0
2010-02-01,94475.84999999999,34140.70714285714,10722.0
2010-03-01,99563.37759112522,48877.4096551724,11607.0
2010-04-01,122941.12000000005,35008.98,8772.0
2010-05-01,100955.49999999997,30130.03513761468,7165.0
2010-06-01,104139.40999999995,43036.13000000001,6545.0
2010-07-01,128350.42304347822,54402.48616737051,12351.0
2010-08-01,129394.93148325359,37660.504350391,11623.0
2010-09-01,98279.70892086334,22176.179734513273,6166.0
2010-10-01,118313.46000000002,28003.080992034593,7995.0
2010-11-01,133139.2100000001,31224.878421052632,11269.0
2010-12-01,170814.27,44368.21519124989,9715.0
2011-01-01,137656.82235294118,36326.76794117647,10822.0
2011-02-01,101370.77333333332,33215.07428571429,10937.0
2011-03-01,116728.52650994893,40186.77857193511,10761.0
2011-04-01,142227.7819708029,37340.962222222224,9256.0
2011-05-01,106011.87999999996,30220.469999999998,6754.0
2011-06-01,113845.52999999998,41518.82714285714,6471.0
2011-07-01,134802.6886013986,51554.97471143936,10579.0
2011-08-01,126446.21624815492,33932.461891891886,10055.0
2011-09-01,108097.18508196721,23314.50612244898,5973.0
2011-10-01,114186.08878067983,26546.78,7460.0
2011-11-01,139725.8255667975,31926.66947368421,11264.0
2011-12-01,186902.60078740167,45670.91449612403,9270.0
2012-01-01,148406.35000000006,37441.955882352944,10130.0
2012-02-01,109332.11523809526,36136.154285714285,10811.0
2012-03-01,127666.35900158479,45368.754653318654,11248.0
2012-04-01,136100.22999999992,34435.52,8270.0
2012-05-01,109732.6,32436.86,6649.0
2012-06-01,118923.96,46303.50928571427,6141.0
2012-07-01,132590.9164335664,52739.803567502575,9818.0
2012-08-01,122432.44948471921,34447.06189189189,9111.0
2012-09-01,112593.2326229508,25301.32,5887.0
2012-10-01,126868.15819389111,30182.8,7803.0
2012-11-01,144616.28969853403,34889.462105263156,12079.0
2012-12-01,174746.36999999997,50633.346976744186,10331.0
2013-01-01,129328.39999839997,37269.12,11020.0
2013-02-01,94631.52999989995,35825.56,11161.0
2013-03-01,153282.05916571122,51193.57746719918,11055.0
2013-04-01,131132.88000000003,34014.63,8589.0
2013-05-01,135947.56999999998,33774.99,6823.0
2013-06-01,138865.20999999996,49478.229999999996,6939.0
