region,fuerza_estacional,fuerza_tendencia,mes_pico_promedio,mes_valle_promedio
América Del Centro,0.2630802402850311,0.8282863416728081,12,2
América Del Norte,0.08347946313864707,0.6251235304420526,12,9
Europa,0.2107417565360281,0.7225331538050763,11,9
