País,viajeros_acumulados,participacion
Islas Marshall,26.974797676969764,5.158894991141801e-07
Bolivia (Estado Plurinacional De),25.0,4.781217502463701e-07
Polinesia francés,23.969762641898864,4.584185946933896e-07
Seychelles,21.60221861287706,4.1313962289573973e-07
Swazilandia,21.002085195114685,4.016621492924644e-07
Turkmenistán,19.007561904664893,3.635171506309843e-07
Palau,18.99868464320957,3.633473741596077e-07
Somalia,18.996118658262333,3.6329830003104456e-07
Anguila,18.00176488761949,3.4428141342369123e-07
Trinidad Y Tobago,18.0,3.4424766017738644e-07
Mayotte,17.172190525110594,3.284159115772004e-07
Timor-Leste,16.87019399999999,3.2264026729103226e-07
Yemen,16.00163524221236,3.0602919395242283e-07
Nauru,14.0,2.6774818013796723e-07
Maldivas,13.479727445837124,2.577980351699071e-07
Tuvalu,11.0,2.1037357010840283e-07
Micronesia (Estados Federados De),8.0,1.5299896007883843e-07
Tonga,7.995967741935484,1.5292184366750837e-07
Antigua Y Barbuda,5.0,9.562435004927402e-08
San Cristóbal Y Nieves,3.0,5.737461002956441e-08
Otros Paises Del Mundo,3.0,5.737461002956441e-08
Aruba,2.998221273568125,5.734059211777171e-08
Martinica,2.0,3.824974001970961e-08
Irán (República Islámica Del),2.0,3.824974001970961e-08
Côte D'ivoire,1.0,1.9124870009854804e-08
República De Moldova,1.0,1.9124870009854804e-08
